iter	Passed	Remaining
399	50445	12611
400	50556	12481
401	50647	12346
402	50744	12213
403	50891	12093
404	50985	11959
405	51100	11831
406	51204	11700
407	51320	11572
408	51435	11444
409	51537	11313
410	51670	11188
411	51783	11060
412	51908	10934
413	52051	10812
414	52172	10686
415	52301	10560
416	52428	10435
417	52504	10299
418	52589	10166
419	52692	10036
420	52761	9900
421	52861	9770
422	52938	9636
423	53035	9506
424	53133	9376
425	53213	9243
426	53268	9106
427	53360	8976
428	53449	8845
429	53536	8715
430	53621	8584
431	53707	8453
432	53797	8324
433	53868	8191
434	53996	8068
435	54091	7940
436	54161	7808
437	54253	7679
438	54343	7551
439	54455	7425
440	54548	7297
441	54636	7169
442	54723	7041
443	54831	6915
444	54946	6791
445	55039	6663
446	55113	6534
447	55170	6403
448	55256	6276
449	55331	6147
450	55407	6019
451	55509	5894
452	55572	5765
453	55618	5635
454	55676	5506
455	55753	5379
456	55820	5252
457	55883	5124
458	55945	4997
459	55995	4869
460	56049	4741
461	56096	4614
462	56130	4485
463	56174	4358
464	56215	4231
465	56245	4103
466	56278	3976
467	56303	3849
468	56327	3723
469	56352	3596
470	56378	3471
471	56402	3345
472	56425	3220
473	56448	3096
474	56471	2972
475	56495	2848
476	56518	2725
477	56544	2602
478	56570	2480
479	56598	2358
480	56627	2236
481	56654	2115
482	56684	1995
483	56713	1874
484	56741	1754
485	56770	1635
486	56793	1516
487	56816	1397
488	56839	1278
489	56861	1160
490	56884	1042
491	56908	925
492	56931	808
493	56954	691
494	56977	575
495	57000	459
496	57023	344
497	57046	229
498	57069	114
499	57092	0
