iter	Logloss
0	0.6881665098
1	0.6823394697
2	0.678288353
3	0.6759513381
4	0.6712565023
5	0.6685755083
6	0.6650319931
7	0.6613282761
8	0.6556506384
9	0.649678132
10	0.6468715074
11	0.6434077548
12	0.6386649494
13	0.6348530217
14	0.6316947629
15	0.6255093761
16	0.6232621814
17	0.6215602725
18	0.6194986268
19	0.6165300301
20	0.6102549597
21	0.6055236949
22	0.6039569744
23	0.5995993162
24	0.5958008335
25	0.5921916517
26	0.589393404
27	0.5868664999
28	0.5850387653
29	0.580557173
30	0.5747829107
31	0.571956187
32	0.5692651703
33	0.5649850139
34	0.5621670396
35	0.559373788
36	0.5567116793
37	0.5529328312
38	0.5485319233
39	0.5471617715
40	0.5446153029
41	0.5411180918
42	0.5397444243
43	0.5361203747
44	0.530754547
45	0.5267220294
46	0.5229218392
47	0.5203624033
48	0.5167652874
49	0.5136561739
50	0.5093462075
51	0.5067583207
52	0.5053055761
53	0.5015431783
54	0.4984797109
55	0.4968408554
56	0.4959029891
57	0.4919184569
58	0.4872562926
59	0.4842162305
60	0.4825853474
61	0.4783866447
62	0.4752826481
63	0.4702523906
64	0.4688189122
65	0.4669456889
66	0.4641050368
67	0.4626383578
68	0.4575229251
69	0.4546083338
70	0.4525655396
71	0.4502213984
72	0.4475995529
73	0.4456720118
74	0.4443488305
75	0.4419708003
76	0.4401326361
77	0.4378327081
78	0.4361654477
79	0.4338916961
80	0.4310854353
81	0.4275509492
82	0.4263259076
83	0.4236615904
84	0.4216946135
85	0.4193078976
86	0.4147648469
87	0.4125722773
88	0.4115246765
89	0.4097865173
90	0.4054974609
91	0.4040572967
92	0.402854402
93	0.4010905948
94	0.3990857025
95	0.3966802802
96	0.3955905066
97	0.3918482166
98	0.3907579226
99	0.3886875215
100	0.3854777679
101	0.383529573
102	0.3803848181
103	0.3782720399
104	0.3763893643
105	0.3727833049
106	0.3705406902
107	0.3681599557
108	0.3666797005
109	0.3635819606
110	0.3602607943
111	0.3580733477
112	0.3553976842
113	0.3534584269
114	0.3514902428
115	0.3479721762
116	0.3452027873
117	0.3439377382
118	0.3415786919
119	0.3402529182
120	0.338333175
121	0.3349048628
122	0.3320723358
123	0.3297468333
124	0.3290024818
125	0.3279611234
126	0.3266777109
127	0.3243452875
128	0.3229403608
129	0.3209559415
130	0.3185734222
131	0.3176343462
132	0.3168380147
133	0.3148072702
134	0.3141321783
135	0.3131056709
136	0.311907441
137	0.3099967702
138	0.3083422374
139	0.3054539982
140	0.3040616597
141	0.3027652777
142	0.3010741952
143	0.298877353
144	0.2975112835
145	0.2948979458
146	0.2929541072
147	0.2915062197
148	0.2904916551
149	0.2895992399
150	0.288627048
151	0.2857436046
152	0.2852248811
153	0.2833908694
154	0.2818192866
155	0.2801169589
156	0.2792395114
157	0.2773413101
158	0.2768665249
159	0.2754455039
160	0.2738474248
161	0.273240863
162	0.2719645386
163	0.2713895493
164	0.2697464187
165	0.2686242553
166	0.2676976138
167	0.2671304594
168	0.266125583
169	0.2640898177
170	0.2608696845
171	0.2590659591
172	0.2573267239
173	0.2549995992
174	0.2538322244
175	0.2528770896
176	0.2518468252
177	0.2501938351
178	0.2490129023
179	0.2473921328
180	0.245958726
181	0.2453190203
182	0.2436467141
183	0.2425714296
184	0.2414963673
185	0.2400949521
186	0.2391122062
187	0.2381164397
188	0.2371414972
189	0.2360267196
190	0.235557082
191	0.2345411737
192	0.2336185441
193	0.23306488
194	0.2311829602
195	0.2300876547
196	0.228804509
197	0.2282662086
198	0.2273188013
199	0.22624148
200	0.2255936467
201	0.2249023758
202	0.2234209098
203	0.2228670605
204	0.221580975
205	0.2208944386
206	0.2200493971
207	0.2182299981
208	0.2177103812
209	0.2167116097
210	0.2156614483
211	0.2141331188
212	0.2129287664
213	0.2118452446
214	0.2102712806
215	0.2091703133
216	0.20840412
217	0.207030046
218	0.2052398469
219	0.2039296044
220	0.2031193755
221	0.2027340965
222	0.2013468714
223	0.2006434781
224	0.1994731626
225	0.1978755215
226	0.1961596325
227	0.1936689683
228	0.1932513207
229	0.1923878216
230	0.1914093077
231	0.1905553172
232	0.1895518881
233	0.1885403203
234	0.1879024445
235	0.187099115
236	0.1862287341
237	0.1856125866
238	0.1845758305
239	0.1839393379
240	0.1830566893
241	0.182445032
242	0.1818589154
243	0.1813235391
244	0.180631038
245	0.180327716
246	0.1793855105
247	0.1788336499
248	0.1781353693
249	0.1775308596
250	0.1771219415
251	0.1758087364
252	0.1744673451
253	0.1734691465
254	0.1727036719
255	0.1718908945
256	0.1711664007
257	0.1703405735
258	0.1694507606
259	0.1689019329
260	0.1682238907
261	0.1674990222
262	0.166888353
263	0.1662037034
264	0.1651568075
265	0.164390056
266	0.1640333513
267	0.1633042674
268	0.1622743479
269	0.1614788443
270	0.1610763104
271	0.160487831
272	0.1600285486
273	0.159468537
274	0.1590697986
275	0.1583148689
276	0.1579183434
277	0.1572737482
278	0.1565915068
279	0.1559542685
280	0.1554231083
281	0.1547800045
282	0.154231732
283	0.1538274767
284	0.1534694863
285	0.1525943194
286	0.1515157825
287	0.1504477321
288	0.1497873688
289	0.1491137213
290	0.1482330608
291	0.1474837088
292	0.1472824239
293	0.1466610507
294	0.145478166
295	0.1448023575
296	0.1445524443
297	0.144272615
298	0.1437540544
299	0.1431623083
300	0.1425699006
301	0.1420298793
302	0.1410040082
303	0.1408717047
304	0.1403034718
305	0.1395530827
306	0.1388912098
307	0.1383841519
308	0.1379100699
309	0.1374681454
310	0.1368560644
311	0.1357999373
312	0.1354440752
313	0.1351370799
314	0.1345877461
315	0.1342192915
316	0.1338915266
317	0.1336050044
318	0.1329638478
319	0.1325417278
320	0.1319408022
321	0.1311260858
322	0.1306216979
323	0.1301175429
324	0.1297510948
325	0.1294202303
326	0.1291071392
327	0.1284639018
328	0.1276716027
329	0.1269980364
330	0.1265938877
331	0.1261457597
332	0.1258823274
333	0.1250564985
334	0.124060054
335	0.1238328822
336	0.1230478618
337	0.1226844945
338	0.1218651137
339	0.1209451877
340	0.1207152172
341	0.1204061844
342	0.119858277
343	0.1196383889
344	0.1192846308
345	0.1187252839
346	0.1184097386
347	0.1180919337
348	0.1178028132
349	0.1175671174
350	0.1171627612
351	0.1165868834
352	0.116197298
353	0.1157743002
354	0.1154251493
355	0.1150768407
356	0.1144579853
357	0.1138138213
358	0.1127183141
359	0.1124578826
360	0.1120254259
361	0.1113164869
362	0.1105852315
363	0.1102601766
364	0.1099218392
365	0.1095217842
366	0.1090331068
367	0.10806072
368	0.1075959345
369	0.1074317033
370	0.1072650308
371	0.1064810383
372	0.106004696
373	0.1056720571
374	0.1054507792
375	0.1053650896
376	0.1048194018
377	0.1040016679
378	0.103413014
379	0.1026379165
380	0.1023832266
381	0.1018933053
382	0.1012127484
383	0.1008934092
384	0.1006473567
385	0.1001913799
386	0.09984910456
387	0.09930900673
388	0.09895651592
389	0.09871141053
390	0.09831238709
391	0.09807094857
392	0.09770608761
393	0.09664068818
394	0.09633222552
395	0.09610200232
396	0.09589490461
397	0.09542397788
398	0.09503814614
399	0.09482299419
400	0.09461866286
401	0.09424589227
402	0.09395497186
403	0.09336930462
404	0.0929415479
405	0.09241878559
406	0.09191697468
407	0.09141565525
408	0.09124426349
409	0.09085924587
410	0.09053010201
411	0.09030735797
412	0.09009335036
413	0.08993325931
414	0.08980300413
415	0.08939062638
416	0.08900956423
417	0.08870304382
418	0.08838876577
419	0.08765576554
420	0.08738109127
421	0.08689422428
422	0.08647943623
423	0.08600424079
424	0.084981038
425	0.08455636023
426	0.0840393207
427	0.08306222143
428	0.08235769993
429	0.08166299694
430	0.08138516231
431	0.08093107671
432	0.08075246221
433	0.08024769351
434	0.07990201216
435	0.07976932341
436	0.07945409404
437	0.07883795764
438	0.07845568229
439	0.07796728035
